gunluk vaka sayi;gunluk test sayi;gunluk iylesen sayi;Toplam asi;Gunluk Asi;Toplam vaka;gunluk olum ;Toplam olum
975;128,854;946;147734958;6773;15072747;4;98965
908;133,352;1,005;147728185;7278;15071772;4;98961
864;129,961;1,107;147720907;1098;15070864;2;98957
966;138,752;1,104;147719809;1944;15070000;3;98955
940;134,252;1,237;147717865;6372;15069034;4;98952
1,31;139,482;1,289;147711493;6347;15068094;5;98948
1,26;137,573;1,225;147705146;8136;15066784;4;98943
1,304;136,332;1,184;147697010;9317;15065524;6;98939
922;123,536;1,105;147687693;9113;15064220;3;98933
905;118,852;1,019;147678580;1257;15063298;5;98930
1,264;138,386;1,219;147677323;3445;15062393;3;98925
1,017;129,945;1,148;147667323;3111;15060112;4;98918
1,485;137,73;1,389;147663432;2398;15060112;4;98918
1,443;135,563;1,274;147661034;10868;15058627;3;98914
1,608;138,894;1,219;147650166;11838;15057184;7;98911
1,254;128,957;1,358;147638328;12793;15055576;4;98904
1,154;120,183;1,19;147625535;1927;15054322;10;98900
1,407;127,538;1,645;147623608;2761;15053168;5;98890
1,534;134,027;1,673;147620847;14569;15051761;7;98885
1,778;135,738;1,816;147606278;14133;15050227;8;98878
1,67;129,362;1,711;147592145;15284;15048449;9;98870
1,858;134,646;1,511;147576861;16632;15046779;7;98861
1,542;109,958;1,463;147560229;17828;15044921;8;98854
1,48;98,758;1,526;147542401;2193;15043379;9;98846
1,661;102,242;1,843;147540208;4161;15041899;11;98837
1,743;135,316;2,239;147536047;15887;15040238;7;98826
1,253;101,263;1,782;147520160;14748;15038495;11;98819
1,132;90,301;1,185;147505412;2271;15037242;7;98808
1,193;92,562;1,354;147503141;1743;15036110;10;98801
1,344;97,783;1,402;147501398;1577;15034917;8;98791
1,48;108,802;2,113;147499821;1157;15033573;12;98783
1,772;119,264;3,147;147498664;3390;15032093;11;98771
1,924;127,095;7,718;147495274;12601;15030321;9;98760
2,256;135,253;10,289;147482673;12586;15028397;15;98751
2,479;137,647;12,141;147470087;14243;15026141;16;98736
2,511;132,633;13,167;147455844;14236;15023662;14;98720
2,604;134,346;16,981;147441608;15360;15021151;15;98706
2,277;127,253;14,434;147426248;3019;15018547;15;98691
2,654;137,853;15,927;147423229;5677;15016270;16;98676
2,898;149,252;17,808;147413229;11233;15013616;15;98660
3,354;153,733;17,303;147402858;16091;15010718;17;98645
3,668;158,523;16,319;147386767;17111;15007364;18;98628
4,217;162,855;15,017;147369656;18189;15003696;23;98610
4,542;164,493;14,29;147351467;18336;14999479;19;98587
3,268;153,318;13,683;147333131;12563;14994937;17;98568
